tag;text
frm1;Управление
devices;Список устройств:
lbx_1;Listbox
btnStart;Старт
time;Время записи (c):
temp;Текущая температура (oC):
etime;8
etermo;25
btnSetT;Ввести
btnSave;Сохранить
btnLoad;Загрузить
btnClear;Очистить все
btnClear2;Очистить последний
Fq_diap;Диапазон поиска частоты (Гц):
Fq_1;1800
Fq_2;6000
chbCircle;Проверка по окружности
tStep;Шаг(град)
eStep;0
tNum;Повторений
eNum;1
tPos;Текущее полож.
ePos;0
frm2;Временная диаграмма
btnSignal;Развернуть
frm3;Частотная диаграмма
btnFreq;Развернуть
frm4;Результаты анализа
Fq1;Частота №1 Гц:
eFq1;0
Fq2;Частота №2 Гц:
eFq2;0
Qa1;Разночастотность:
eQa1;0
Qa2;Добротность №1:
eQa2;0
Qa3;Добротность №2:
eQa3;0
Zt;Добротность №3:
eZt;0
Qa4;Время затухания с.:
eQa4;0
tNres;'Изделие'
eNres;'----'
btnLoad1;Создать протокол для НУ
btnLoad2;Создать протокол для ТКЧ
frm5;Резонансная частота
f_Load;Выберите файл для загрузки
Hz_; Гц
sec_; с
txtDiscr;0
prot1_1;Протокол анализа характеристик резонатора №
prot1_2;от
prot1_3;Таблица измерений
prot1_4;№
prot1_5;F1(Гц)
prot1_6;F2(Гц)
prot1_7;F1-F2
prot1_8;Q1
prot1_9;Q2
prot1_10;Угол
prot1_11;Cр.
prot1_12;CКО.
prot1_13;Результаты измерений
prot1_14;Резонансная частота F1:
prot1_15;Резонансная частота F2:
prot1_16;Разночастотность(F1-F2):
prot1_17;Добротность Q1:
prot1_18;Добротность Q2:
prot1_19;ФИО Оператора:
prot1_20;Подпись:
prot1_21;Гц 
err1;Для определения ТКЧ необходимо как минимум 2 измерения
prot2_1;в диапазоне температур
prot2_2;Таблица измерений
prot2_3;ToC
prot2_4;Изменение параметров резонатора в диапазоне температур
prot2_5;Температуры измерений (Т):
prot2_6;Изменение резонансной частоты F1:
prot2_7;Изменение резонансной частоты F2:
prot2_8;Средняя разночастотность(F1-F2):
prot2_9;Средняя Добротность Q1:
prot2_10;Средняя Добротность Q2:
plot2_11;Температурный коэффициент частоты (ТКЧ):
plot2_12;Гц/oC
plot_1;Экспериментальные данные
plot_2;Линейная зависимость
plot_3;Результаты определения ТКЧ
plot_5;Экспериментальные данные
